epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,5088.62,0.72224,0.46778,0.81728,0.74972,0.59468,0.59365,0.44133,0.91153,1.00529,0.88679,0.000942622,0.000942622,0.000942622
64,5169.37,0.74113,0.47702,0.81791,0.77263,0.61014,0.6009,0.40865,1.00827,1.03824,0.92375,0.000939906,0.000939906,0.000939906
65,5249.88,0.72047,0.45705,0.82033,0.7147,0.54509,0.60415,0.37949,1.09422,0.99008,0.94923,0.00093719,0.00093719,0.00093719
66,5330.5,0.74913,0.46234,0.81276,0.6658,0.59798,0.6354,0.41244,1.00045,0.95387,0.90969,0.000934474,0.000934474,0.000934474
67,5411.04,0.68465,0.44484,0.81868,0.66169,0.58578,0.63629,0.40988,1.0256,0.96485,0.91702,0.000931759,0.000931759,0.000931759
68,5491.53,0.72715,0.4505,0.81285,0.7942,0.5422,0.62997,0.40176,1.10276,1.07706,0.93114,0.000929043,0.000929043,0.000929043
69,5571.86,0.70184,0.44266,0.8169,0.95218,0.48626,0.61972,0.39994,1.10845,1.2139,0.92083,0.000926327,0.000926327,0.000926327
70,5652.66,0.71492,0.45262,0.82088,0.78297,0.57916,0.65133,0.40256,1.19102,1.25062,0.94,0.000923611,0.000923611,0.000923611
71,5732.95,0.70086,0.43894,0.82402,0.7406,0.68391,0.72217,0.46746,1.12658,1.11762,0.92532,0.000920896,0.000920896,0.000920896
72,5813.65,0.73554,0.4613,0.81247,0.81295,0.60103,0.65829,0.44437,1.08774,1.08754,0.92569,0.00091818,0.00091818,0.00091818
73,5894.51,0.74515,0.46928,0.81717,0.74844,0.63034,0.64335,0.45075,1.11172,1.08123,0.91274,0.000915464,0.000915464,0.000915464
74,5975.05,0.68456,0.44106,0.81954,0.8025,0.6003,0.62441,0.44889,1.01967,1.04445,0.88995,0.000912748,0.000912748,0.000912748
75,6055.31,0.6881,0.44027,0.83179,0.81842,0.52454,0.59527,0.43674,0.92198,1.1455,0.87988,0.000910032,0.000910032,0.000910032
76,6135.95,0.67881,0.41327,0.8235,0.75437,0.57213,0.5938,0.43421,0.9704,1.20616,0.88622,0.000907317,0.000907317,0.000907317
